user_id,age,plan_type,account_age_days,churned,days_since_last_login,total_watch_time_30d,avg_rating,num_ratings,churn_probability,predicted_churn
U4002,23,Premium,414,1,1.0,0.0,0.0,0.0,0.7342004255460597,1
U2986,22,Premium,525,1,5.0,0.0,0.0,0.0,0.7249149096672504,1
U4858,25,Premium,681,1,159.0,101.0,1.3333333333333333,3.0,0.7161107011861322,1
U1343,42,Standard,234,1,30.0,176.0,0.0,0.0,0.7145116876676681,1
U5849,50,Basic,190,1,35.0,80.0,2.4,5.0,0.7138779243063085,1
U5880,19,Premium,507,1,2.0,0.0,0.0,0.0,0.7045171119305712,1
U1809,30,Premium,653,1,37.0,106.0,1.0,1.0,0.7014507067817028,1
U3357,26,Basic,17,1,36.0,0.0,3.333333333333333,3.0,0.6998951158876636,1
U3912,40,Standard,3,1,36.0,5.0,3.0,1.0,0.6998568384918709,1
U3070,20,Premium,176,1,156.0,89.0,0.0,0.0,0.6960625713695516,1
U2781,18,Standard,1,1,35.0,0.0,2.0,1.0,0.6951309870865905,1
U3335,48,Basic,70,1,34.0,24.0,2.6666666666666665,3.0,0.6930373189188428,1
U2636,60,Standard,285,1,2.0,14.0,2.75,4.0,0.6921228857031003,1
U2859,18,Basic,296,1,37.0,87.0,3.5,4.0,0.6893253707210257,1
U1017,32,Standard,1,1,58.0,0.0,3.5,2.0,0.6854465384189287,1
U5623,41,Basic,251,1,4.0,164.0,2.6666666666666665,3.0,0.6850639261870731,1
U3847,33,Standard,727,1,2.0,178.0,2.6666666666666665,3.0,0.6848247588880505,1
U5805,39,Premium,717,1,40.0,59.0,3.0,1.0,0.6759150768290505,1
U5875,24,Premium,714,1,73.0,66.0,1.3333333333333333,3.0,0.672933488797752,1
U1939,29,Premium,606,1,6.0,0.0,0.0,0.0,0.6725873744508155,1
U3675,40,Standard,296,1,116.0,157.0,0.0,0.0,0.6710382623541331,1
U5509,27,Premium,387,1,1.0,0.0,0.0,0.0,0.6673723949932728,1
U5912,45,Basic,70,1,36.0,0.0,3.333333333333333,3.0,0.6629650227945784,1
U2117,48,Basic,367,1,13.0,83.0,2.333333333333333,6.0,0.6615472095974846,1
U1018,25,Standard,700,1,1.0,106.0,0.0,0.0,0.6608752298060792,1
U4664,32,Basic,413,1,5.0,113.0,3.2,5.0,0.6608545409015192,1
U2244,54,Basic,187,1,31.0,96.0,2.2,5.0,0.6607953556410456,1
U2821,22,Premium,427,1,0.0,96.0,0.0,0.0,0.6606100427379445,1
U1580,44,Basic,448,1,5.0,85.0,2.6666666666666665,3.0,0.6603523221542471,1
U2684,25,Basic,3,1,86.0,32.0,3.0,1.0,0.6592485008808946,1
U5804,24,Standard,434,1,37.0,0.0,5.0,1.0,0.6592099001270953,1
U3790,30,Premium,552,1,50.0,98.0,0.0,0.0,0.6581120376813479,1
U1895,19,Basic,276,1,13.0,82.0,3.5,4.0,0.6580909049800845,1
U3221,30,Basic,13,1,36.0,0.0,4.0,2.0,0.6567825217113736,1
U5241,45,Standard,3,1,999.0,0.0,3.0,1.0,0.6564032114589965,1
U4639,60,Standard,281,1,1.0,0.0,3.5,2.0,0.6563560504173057,1
U4325,33,Basic,727,1,36.0,83.0,1.0,1.0,0.6559879487803099,1
U5983,27,Premium,667,1,46.0,76.0,0.0,0.0,0.6554302914096273,1
U4024,33,Basic,131,1,999.0,102.0,0.0,0.0,0.6544208857027237,1
U4730,19,Standard,371,1,18.0,0.0,4.0,2.0,0.652535931914467,1
U2181,19,Basic,562,1,33.0,0.0,3.333333333333333,3.0,0.6522638092580659,1
U2359,20,Basic,1,1,72.0,0.0,2.0,2.0,0.6518593735411039,1
U1940,46,Premium,722,1,23.0,38.0,4.0,2.0,0.6516965301223379,1
U2059,42,Basic,722,1,3.0,33.0,3.0,4.0,0.6492126870029787,1
U4963,27,Basic,607,1,999.0,79.0,2.0,3.0,0.6491492818546427,1
U3773,19,Basic,108,1,143.0,0.0,2.0,5.0,0.6486586304105753,1
U2841,35,Premium,220,1,62.0,73.0,0.0,0.0,0.6481316713796842,1
U5378,25,Premium,432,1,37.0,56.0,5.0,1.0,0.646751564248341,1
U3738,41,Basic,723,1,14.0,28.0,2.5,2.0,0.6464510396775054,1
U3040,48,Standard,591,1,14.0,55.0,2.333333333333333,3.0,0.6456852068587843,1
U2607,54,Basic,465,1,41.0,0.0,2.2,5.0,0.6449455779784357,1
U1279,55,Basic,282,1,0.0,0.0,4.0,1.0,0.6445155006892052,1
U4634,51,Standard,347,1,9.0,20.0,2.5,2.0,0.6444611406327152,1
U2598,19,Standard,103,1,999.0,86.0,1.0,1.0,0.643988957457447,1
U2533,29,Premium,577,1,32.0,114.0,2.0,2.0,0.6423105285205023,1
U1801,27,Standard,390,1,123.0,70.0,3.375,8.0,0.6420809642653904,1
U5917,34,Standard,199,1,10.0,174.0,0.0,0.0,0.6419805928974099,1
U4423,44,Basic,78,1,13.0,52.0,4.0,3.0,0.6415920153184546,1
U5278,46,Premium,638,1,4.0,53.0,4.0,1.0,0.6409367892151923,1
U5636,25,Standard,144,1,38.0,0.0,3.333333333333333,3.0,0.6409209300039348,1
U5017,18,Basic,78,1,66.0,82.0,3.0,4.0,0.6407572621378265,1
U2814,27,Premium,686,1,999.0,63.0,2.333333333333333,3.0,0.6405704040076745,1
U3521,60,Basic,410,1,37.0,18.0,2.6666666666666665,3.0,0.6404527814002333,1
U5128,34,Premium,254,1,71.0,59.0,5.0,1.0,0.6404375964321183,1
U2714,21,Premium,303,1,74.0,140.0,0.0,0.0,0.6395395925975899,1
U3193,25,Basic,117,1,27.0,123.0,0.0,0.0,0.6391425979135293,1
U1093,33,Basic,652,1,999.0,114.0,1.0,1.0,0.6390944122306557,1
U4676,29,Premium,725,1,45.0,106.0,3.0,1.0,0.638900905460502,1
U1341,41,Premium,402,1,21.0,125.0,3.0,1.0,0.6384933921548855,1
U3183,29,Premium,566,1,36.0,48.0,3.0,1.0,0.6384192619404871,1
U2765,44,Basic,609,1,999.0,112.0,0.0,0.0,0.6377335151416835,1
U5214,51,Premium,20,1,60.0,73.0,0.0,0.0,0.6375248634867777,1
U1106,18,Basic,651,1,135.0,44.0,2.5,2.0,0.6374450621732654,1
U1321,20,Standard,7,1,9.0,121.0,0.0,0.0,0.6373033548408675,1
U4530,18,Standard,76,1,13.0,0.0,4.0,1.0,0.6369059185627062,1
U2063,23,Basic,117,1,144.0,87.0,3.0,1.0,0.6367813566303843,1
U5650,46,Basic,360,1,76.0,160.0,3.2,5.0,0.636222457204525,1
U4811,59,Premium,207,1,3.0,0.0,2.5,2.0,0.6357147023944612,1
U3788,58,Standard,415,1,4.0,19.0,2.0,2.0,0.6351691012349768,1
U2668,37,Premium,226,1,999.0,94.0,0.0,0.0,0.634038851015989,1
U3003,36,Premium,607,1,5.0,25.0,4.0,1.0,0.6337043893468122,1
U3882,24,Basic,190,1,38.0,0.0,3.0,3.0,0.6328207393591847,1
U5662,19,Premium,625,1,999.0,68.0,0.0,0.0,0.6327594646624132,1
U4157,18,Standard,426,1,18.0,47.0,3.5,4.0,0.6326811107754243,1
U2715,46,Standard,433,1,34.0,24.0,3.0,5.0,0.6326308133685804,1
U3059,24,Premium,0,1,17.0,71.0,3.0,1.0,0.6326219170614256,1
U2786,58,Basic,73,1,15.0,0.0,2.5,2.0,0.6326205452177202,1
U3784,22,Standard,718,1,149.0,0.0,4.0,2.0,0.632325315963761,1
